Datetime,Close,High,Low,Open,Volume,H-L,H-PC,L-PC,TR,ATR,basic_upper,basic_lower,final_upper,final_lower,supertrend,trend
2026-01-27 03:45:00+00:00,25009.94921875,25123.44921875,25007.849609375,25079.0,0,115.599609375,58.69921875,56.900390625,115.599609375,37.72293150075252,25178.818208564757,24952.480619560243,25129.133799139672,25008.73365413413,25129.133799139672,-1.0
2026-01-27 03:50:00+00:00,24946.400390625,25008.69921875,24938.849609375,25007.5,0,69.849609375,1.25,71.099609375,71.099609375,41.06059928817727,25096.95621192703,24850.59261619797,25096.95621192703,25008.73365413413,25096.95621192703,-1.0
2026-01-27 03:55:00+00:00,24958.55078125,24970.69921875,24933.05078125,24946.30078125,0,37.6484375,24.298828125,13.349609375,37.6484375,40.71938310935954,25074.03314932808,24829.71685067192,25074.03314932808,24829.71685067192,25074.03314932808,-1.0
2026-01-27 04:00:00+00:00,24989.5,25000.19921875,24940.19921875,24958.400390625,0,60.0,41.6484375,18.3515625,60.0,42.647444798423585,25098.14155314527,24842.25688435473,25074.03314932808,24842.25688435473,25074.03314932808,-1.0
2026-01-27 04:05:00+00:00,25091.5,25095.150390625,24977.80078125,24989.94921875,0,117.349609375,105.650390625,11.69921875,117.349609375,50.11766125608123,25186.828569705744,24886.122602169256,25074.03314932808,24886.122602169256,24886.122602169256,1.0
2026-01-27 04:10:00+00:00,25147.599609375,25147.599609375,25064.75,25090.650390625,0,82.849609375,56.099609375,26.75,82.849609375,53.39085606797311,25266.347372891418,24946.002236483582,25266.347372891418,24946.002236483582,24946.002236483582,1.0
2026-01-27 04:15:00+00:00,25152.19921875,25160.44921875,25121.0,25148.80078125,0,39.44921875,12.849609375,26.599609375,39.44921875,51.9966923361758,25296.714686383526,24984.734532366474,25266.347372891418,24984.734532366474,24984.734532366474,1.0
2026-01-27 04:20:00+00:00,25137.25,25158.75,25126.400390625,25151.75,0,32.349609375,6.55078125,25.798828125,32.349609375,50.03198404005822,25292.671147432673,24992.479243192327,25266.347372891418,24992.479243192327,24992.479243192327,1.0
2026-01-27 04:25:00+00:00,25108.900390625,25141.30078125,25100.94921875,25139.05078125,0,40.3515625,4.05078125,36.30078125,40.3515625,49.0639418860524,25268.316825658156,24973.933174341844,25266.347372891418,24992.479243192327,24992.479243192327,1.0
2026-01-27 04:30:00+00:00,25130.30078125,25152.349609375,25111.0,25111.0,0,41.349609375,43.44921875,2.099609375,43.44921875,48.502469572447154,25277.18221340484,24986.16739597016,25266.347372891418,24992.479243192327,24992.479243192327,1.0
2026-01-27 04:35:00+00:00,25099.44921875,25133.19921875,25083.349609375,25130.19921875,0,49.849609375,2.8984375,46.951171875,49.849609375,48.63718355270244,25254.185964720607,24962.362863404393,25254.185964720607,24992.479243192327,24992.479243192327,1.0
2026-01-27 04:40:00+00:00,25128.44921875,25131.599609375,25086.900390625,25099.900390625,0,44.69921875,32.150390625,12.548828125,44.69921875,48.24338707243219,25253.980161217296,24964.519838782704,25253.980161217296,24992.479243192327,24992.479243192327,1.0
2026-01-27 04:45:00+00:00,25176.599609375,25184.0,25123.5,25129.349609375,0,60.5,55.55078125,4.94921875,60.5,49.46904836518897,25302.157145095567,25005.342854904433,25253.980161217296,25005.342854904433,25005.342854904433,1.0
2026-01-27 04:50:00+00:00,25161.55078125,25179.0,25158.400390625,25177.0,0,20.599609375,2.400390625,18.19921875,20.599609375,46.58210446617007,25308.44650871101,25028.95388191399,25253.980161217296,25028.95388191399,25028.95388191399,1.0
2026-01-27 04:55:00+00:00,25117.69921875,25172.349609375,25117.30078125,25161.19921875,0,55.048828125,10.798828125,44.25,55.048828125,47.42877683205307,25287.111525808657,25002.538864816343,25253.980161217296,25028.95388191399,25028.95388191399,1.0
2026-01-27 05:00:00+00:00,25128.650390625,25133.400390625,25105.75,25117.69921875,0,27.650390625,15.701171875,11.94921875,27.650390625,45.45093821134776,25255.928009946543,24983.222380678457,25253.980161217296,25028.95388191399,25028.95388191399,1.0
2026-01-27 05:05:00+00:00,25110.650390625,25131.55078125,25108.69921875,25128.30078125,0,22.8515625,2.900390625,19.951171875,22.8515625,43.191000640212984,25249.69800192064,24990.55199807936,25249.69800192064,25028.95388191399,25028.95388191399,1.0
2026-01-27 05:10:00+00:00,25030.0,25112.349609375,25019.69921875,25112.099609375,0,92.650390625,1.69921875,90.951171875,92.650390625,48.136939638691686,25210.435232978576,24921.613595146424,25210.435232978576,25028.95388191399,25028.95388191399,1.0
2026-01-27 05:15:00+00:00,25041.349609375,25044.75,25012.44921875,25028.849609375,0,32.30078125,14.75,17.55078125,32.30078125,46.553323799822515,25168.25958077447,24888.93963797553,25168.25958077447,25028.95388191399,25028.95388191399,1.0
2026-01-27 05:20:00+00:00,24994.69921875,25041.599609375,24979.19921875,25041.599609375,0,62.400390625,0.25,62.150390625,62.400390625,48.13803048234027,25154.81350550952,24865.98532261548,25154.81350550952,25028.95388191399,25154.81350550952,-1.0
2026-01-27 05:25:00+00:00,24983.25,25011.400390625,24979.05078125,24996.400390625,0,32.349609375,16.701171875,15.6484375,32.349609375,46.55918837160624,25134.90315105232,24855.54802082268,25134.90315105232,24855.54802082268,25134.90315105232,-1.0
2026-01-27 05:30:00+00:00,25011.05078125,25021.5,24980.0,24983.849609375,0,41.5,38.25,3.25,41.5,46.05326953444562,25138.909808603337,24862.590191396663,25134.90315105232,24862.590191396663,25134.90315105232,-1.0
2026-01-27 05:35:00+00:00,25019.25,25039.80078125,24994.05078125,25008.80078125,0,45.75,28.75,17.0,45.75,46.02294258100106,25154.994608993,24878.856953507,25134.90315105232,24878.856953507,25134.90315105232,-1.0
2026-01-27 05:40:00+00:00,25029.400390625,25030.30078125,25013.80078125,25019.94921875,0,16.5,11.05078125,5.44921875,16.5,43.07064832290096,25151.2627262187,24892.8388362813,25134.90315105232,24892.8388362813,25134.90315105232,-1.0
2026-01-27 05:45:00+00:00,25048.05078125,25057.099609375,25022.099609375,25029.05078125,0,35.0,27.69921875,7.30078125,35.0,42.26358349061086,25166.39035984683,24912.80885890317,25134.90315105232,24912.80885890317,25134.90315105232,-1.0
2026-01-27 05:50:00+00:00,25039.400390625,25064.849609375,25037.150390625,25049.80078125,0,27.69921875,16.798828125,10.900390625,27.69921875,40.80714701654978,25173.42144104965,24928.57855895035,25134.90315105232,24928.57855895035,25134.90315105232,-1.0
2026-01-27 05:55:00+00:00,25057.69921875,25066.650390625,25030.94921875,25038.650390625,0,35.701171875,27.25,8.451171875,35.701171875,40.296549502394804,25169.689453194685,24927.910156180315,25134.90315105232,24928.57855895035,25134.90315105232,-1.0
2026-01-27 06:00:00+00:00,25063.0,25084.80078125,25052.55078125,25057.75,0,32.25,27.1015625,5.1484375,32.25,39.49189455215532,25187.151464906467,24950.200097593533,25134.90315105232,24950.200097593533,25134.90315105232,-1.0
2026-01-27 06:05:00+00:00,25090.5,25091.650390625,25062.849609375,25063.0,0,28.80078125,28.650390625,0.150390625,28.80078125,38.42278322193979,25192.51834966582,24961.98165033418,25134.90315105232,24961.98165033418,25134.90315105232,-1.0
2026-01-27 06:10:00+00:00,25154.650390625,25157.849609375,25079.44921875,25091.0,0,78.400390625,67.349609375,11.05078125,78.400390625,42.420543962245816,25245.911045949237,24991.387782175763,25134.90315105232,24991.387782175763,24991.387782175763,1.0
2026-01-27 06:15:00+00:00,25108.150390625,25162.05078125,25107.75,25154.150390625,0,54.30078125,7.400390625,46.900390625,54.30078125,43.608567691021236,25265.726093698064,25004.074687551936,25265.726093698064,25004.074687551936,25004.074687551936,1.0
2026-01-27 06:20:00+00:00,25086.75,25109.69921875,25084.19921875,25109.400390625,0,25.5,1.548828125,23.951171875,25.5,41.79771092191911,25222.342351515756,24971.556085984244,25222.342351515756,25004.074687551936,25004.074687551936,1.0
2026-01-27 06:25:00+00:00,25103.650390625,25116.94921875,25083.599609375,25088.55078125,0,33.349609375,30.19921875,3.150390625,33.349609375,40.9529007672272,25223.13311636418,24977.41571176082,25222.342351515756,25004.074687551936,25004.074687551936,1.0
2026-01-27 06:30:00+00:00,25113.650390625,25131.80078125,25092.650390625,25104.0,0,39.150390625,28.150390625,11.0,39.150390625,40.77264975300448,25234.543535196513,24989.907636678487,25222.342351515756,25004.074687551936,25004.074687551936,1.0
2026-01-27 06:35:00+00:00,25115.25,25125.900390625,25114.150390625,25114.55078125,0,11.75,12.25,0.5,12.25,37.92038477770404,25233.78654495811,25006.26423629189,25222.342351515756,25006.26423629189,25006.26423629189,1.0
2026-01-27 06:40:00+00:00,25120.349609375,25137.650390625,25113.94921875,25116.25,0,23.701171875,22.400390625,1.30078125,23.701171875,36.49846348743363,25235.2951951498,25016.3044142252,25222.342351515756,25016.3044142252,25016.3044142252,1.0
2026-01-27 06:45:00+00:00,25091.94921875,25127.55078125,25091.25,25121.55078125,0,36.30078125,7.201171875,29.099609375,36.30078125,36.47869526369027,25218.836476416072,24999.964304833928,25218.836476416072,25016.3044142252,25016.3044142252,1.0
2026-01-27 06:50:00+00:00,25127.599609375,25135.5,25091.19921875,25092.0,0,44.30078125,43.55078125,0.75,44.30078125,37.26090386232124,25225.132320961962,25001.566897788038,25218.836476416072,25016.3044142252,25016.3044142252,1.0
2026-01-27 06:55:00+00:00,25102.099609375,25138.19921875,25100.349609375,25127.099609375,0,37.849609375,10.599609375,27.25,37.849609375,37.31977441358912,25231.233737303268,25007.315090821732,25218.836476416072,25016.3044142252,25016.3044142252,1.0
2026-01-27 07:00:00+00:00,25098.80078125,25109.25,25083.099609375,25102.25,0,26.150390625,7.150390625,19.0,26.150390625,36.20283603473021,25204.78331279169,24987.56629658331,25204.78331279169,25016.3044142252,25016.3044142252,1.0
2026-01-27 07:05:00+00:00,25086.400390625,25101.80078125,25070.55078125,25099.0,0,31.25,3.0,28.25,31.25,35.70755243125719,25193.29843854377,24979.05312395623,25193.29843854377,25016.3044142252,25016.3044142252,1.0
2026-01-27 07:10:00+00:00,25079.55078125,25093.650390625,25076.55078125,25086.099609375,0,17.099609375,7.25,9.849609375,17.099609375,33.846758125631474,25186.640860314394,24983.560311560606,25186.640860314394,25016.3044142252,25016.3044142252,1.0
2026-01-27 07:15:00+00:00,25058.5,25091.80078125,25058.5,25081.19921875,0,33.30078125,12.25,21.05078125,33.30078125,33.79216043806833,25176.526871939204,24973.773909310796,25176.526871939204,25016.3044142252,25016.3044142252,1.0
2026-01-27 07:20:00+00:00,25094.30078125,25100.400390625,25056.5,25060.44921875,0,43.900390625,41.900390625,2.0,43.900390625,34.802983456761496,25182.859145682785,24974.041244942215,25176.526871939204,25016.3044142252,25016.3044142252,1.0
2026-01-27 07:25:00+00:00,25088.94921875,25096.849609375,25082.349609375,25094.0,0,14.5,2.548828125,11.951171875,14.5,32.772685111085345,25187.917664708257,24991.281554041743,25176.526871939204,25016.3044142252,25016.3044142252,1.0
2026-01-27 07:30:00+00:00,25080.94921875,25090.44921875,25065.150390625,25088.94921875,0,25.298828125,1.5,23.798828125,25.298828125,32.02529941247681,25173.875702924932,24981.723906450068,25173.875702924932,25016.3044142252,25016.3044142252,1.0
2026-01-27 07:35:00+00:00,25089.599609375,25094.400390625,25074.19921875,25080.69921875,0,20.201171875,13.451171875,6.75,20.201171875,30.84288665872913,25176.828464663686,24991.771144711314,25173.875702924932,25016.3044142252,25016.3044142252,1.0
2026-01-27 07:40:00+00:00,25088.94921875,25090.900390625,25071.150390625,25089.5,0,19.75,1.30078125,18.44921875,19.75,29.73359799285622,25170.22618460357,24991.82459664643,25170.22618460357,25016.3044142252,25016.3044142252,1.0
2026-01-27 07:45:00+00:00,25098.05078125,25099.5,25081.19921875,25089.099609375,0,18.30078125,10.55078125,7.75,18.30078125,28.5903163185706,25176.120558330713,25004.578660419287,25170.22618460357,25016.3044142252,25016.3044142252,1.0
2026-01-27 07:50:00+00:00,25103.55078125,25112.75,25085.900390625,25098.599609375,0,26.849609375,14.69921875,12.150390625,26.849609375,28.41624562421354,25184.57393218514,25014.07645843986,25170.22618460357,25016.3044142252,25016.3044142252,1.0
2026-01-27 07:55:00+00:00,25120.900390625,25123.69921875,25089.849609375,25102.400390625,0,33.849609375,20.1484375,13.701171875,33.849609375,28.959581999292187,25193.653160060378,25019.895668064622,25170.22618460357,25019.895668064622,25019.895668064622,1.0
2026-01-27 08:00:00+00:00,25106.900390625,25132.25,25106.5,25122.69921875,0,25.75,11.349609375,14.400390625,25.75,28.638623799362968,25205.29087139809,25033.45912860191,25170.22618460357,25033.45912860191,25033.45912860191,1.0
2026-01-27 08:05:00+00:00,25031.69921875,25108.55078125,25027.69921875,25107.25,0,80.8515625,1.650390625,79.201171875,80.8515625,33.85991766942667,25169.70475300828,24966.54524699172,25169.70475300828,25033.45912860191,25169.70475300828,-1.0
2026-01-27 08:10:00+00:00,25045.25,25064.099609375,25018.0,25033.599609375,0,46.099609375,32.400390625,13.69921875,46.099609375,35.083886839984004,25146.301465207453,24935.798144167547,25146.301465207453,24935.798144167547,25146.301465207453,-1.0
2026-01-27 08:15:00+00:00,25058.650390625,25060.75,25040.650390625,25046.150390625,0,20.099609375,15.5,4.599609375,20.099609375,33.5854590934856,25151.456572592957,24949.943818032043,25146.301465207453,24949.943818032043,25146.301465207453,-1.0
2026-01-27 08:20:00+00:00,25043.44921875,25065.900390625,25036.94921875,25059.80078125,0,28.951171875,7.25,21.701171875,28.951171875,33.122030371637045,25150.790895802413,24952.058713572587,25146.301465207453,24952.058713572587,25146.301465207453,-1.0
2026-01-27 08:25:00+00:00,25049.349609375,25065.650390625,25039.599609375,25043.75,0,26.05078125,22.201171875,3.849609375,26.05078125,32.41490545947334,25149.86971637842,24955.38028362158,25146.301465207453,24955.38028362158,25146.301465207453,-1.0
2026-01-27 08:30:00+00:00,25016.55078125,25055.650390625,25013.150390625,25050.849609375,0,42.5,6.30078125,36.19921875,42.5,33.423414913526,25134.67063536558,24934.13014588442,25134.67063536558,24955.38028362158,25134.67063536558,-1.0
2026-01-27 08:35:00+00:00,25024.44921875,25033.099609375,24998.25,25017.400390625,0,34.849609375,16.548828125,18.30078125,34.849609375,33.5660343596734,25116.37290776652,24914.97670160848,25116.37290776652,24955.38028362158,25116.37290776652,-1.0
2026-01-27 08:40:00+00:00,25034.55078125,25059.400390625,25024.349609375,25026.05078125,0,35.05078125,34.951171875,0.099609375,35.05078125,33.71450904870606,25143.01852714612,24940.73147285388,25116.37290776652,24955.38028362158,25116.37290776652,-1.0
2026-01-27 08:45:00+00:00,25029.349609375,25039.5,25024.05078125,25034.900390625,0,15.44921875,4.94921875,10.5,15.44921875,31.887980018835457,25127.439330681507,24936.111450568493,25116.37290776652,24955.38028362158,25116.37290776652,-1.0
2026-01-27 08:50:00+00:00,25021.25,25032.849609375,25007.849609375,25030.05078125,0,25.0,3.5,21.5,25.0,31.199182016951912,25113.947155425856,24926.752063324144,25113.947155425856,24955.38028362158,25113.947155425856,-1.0
2026-01-27 08:55:00+00:00,25032.650390625,25039.44921875,25019.0,25022.69921875,0,20.44921875,18.19921875,2.25,20.44921875,30.12418569025672,25119.59716644577,24938.85205230423,25113.947155425856,24955.38028362158,25113.947155425856,-1.0
2026-01-27 09:00:00+00:00,25041.75,25051.099609375,25024.44921875,25032.69921875,0,26.650390625,18.44921875,8.201171875,26.650390625,29.776806183731047,25127.10483261369,24948.44399551131,25113.947155425856,24955.38028362158,25113.947155425856,-1.0
2026-01-27 09:05:00+00:00,25092.400390625,25093.05078125,25040.650390625,25042.30078125,0,52.400390625,51.30078125,1.099609375,52.400390625,32.03916462785794,25162.968079821072,24970.733092053928,25113.947155425856,24970.733092053928,25113.947155425856,-1.0
2026-01-27 09:10:00+00:00,25087.599609375,25108.650390625,25084.849609375,25093.099609375,0,23.80078125,16.25,7.55078125,23.80078125,31.21532629007215,25190.395978870216,25003.104021129784,25113.947155425856,25003.104021129784,25113.947155425856,-1.0
2026-01-27 09:15:00+00:00,25115.19921875,25116.05078125,25088.30078125,25088.900390625,0,27.75,28.451171875,0.701171875,28.451171875,30.938910848564937,25194.992513795696,25009.359048704304,25113.947155425856,25009.359048704304,25009.359048704304,1.0
2026-01-27 09:20:00+00:00,25142.5,25145.80078125,25115.150390625,25115.900390625,0,30.650390625,30.6015625,0.048828125,30.650390625,30.91005882620844,25223.205762416124,25037.745409458876,25223.205762416124,25037.745409458876,25037.745409458876,1.0
2026-01-27 09:25:00+00:00,25139.44921875,25155.30078125,25116.55078125,25143.599609375,0,38.75,12.80078125,25.94921875,38.75,31.694052943587597,25231.007940080763,25040.843622419237,25223.205762416124,25040.843622419237,25040.843622419237,1.0
2026-01-27 09:30:00+00:00,25128.849609375,25145.55078125,25100.75,25141.19921875,0,44.80078125,6.1015625,38.69921875,44.80078125,33.00472577422884,25222.164567947686,25024.136213302314,25222.164567947686,25040.843622419237,25040.843622419237,1.0
2026-01-27 09:35:00+00:00,25147.69921875,25160.25,25125.900390625,25130.5,0,34.349609375,31.400390625,2.94921875,34.349609375,33.13921413430595,25242.492837715417,25043.657552909583,25222.164567947686,25043.657552909583,25043.657552909583,1.0
2026-01-27 09:40:00+00:00,25170.400390625,25175.349609375,25142.75,25142.94921875,0,32.599609375,27.650390625,4.94921875,32.599609375,33.08525365837536,25258.305565662627,25059.794043712373,25222.164567947686,25059.794043712373,25059.794043712373,1.0
2026-01-27 09:45:00+00:00,25202.900390625,25207.349609375,25168.05078125,25169.25,0,39.298828125,36.94921875,2.349609375,39.298828125,33.70661110503782,25288.820028627615,25086.580361997385,25222.164567947686,25086.580361997385,25086.580361997385,1.0
2026-01-27 09:50:00+00:00,25229.94921875,25229.94921875,25190.650390625,25203.94921875,0,39.298828125,27.048828125,12.25,39.298828125,34.26583280703404,25313.097303108603,25107.502306266397,25222.164567947686,25107.502306266397,25107.502306266397,1.0
2026-01-27 09:55:00+00:00,25234.099609375,25246.099609375,25225.69921875,25230.400390625,0,20.400390625,16.150390625,4.25,20.400390625,32.87928858883063,25334.537279828994,25137.261548296006,25334.537279828994,25137.261548296006,25137.261548296006,1.0
2026-01-28 03:45:00+00:00,25336.0,25336.150390625,25227.650390625,25248.599609375,0,108.5,102.05078125,6.44921875,108.5,40.44135972994757,25403.224469814842,25160.576311435158,25334.537279828994,25160.576311435158,25160.576311435158,1.0
2026-01-28 03:50:00+00:00,25358.75,25371.400390625,25335.099609375,25335.44921875,0,36.30078125,35.400390625,0.900390625,36.30078125,40.02730188195281,25473.331905645857,25233.168094354143,25473.331905645857,25233.168094354143,25233.168094354143,1.0
2026-01-28 03:55:00+00:00,25352.75,25366.650390625,25324.69921875,25357.900390625,0,41.951171875,7.900390625,34.05078125,41.951171875,40.21968888125753,25466.333871331273,25225.015738043727,25466.333871331273,25233.168094354143,25233.168094354143,1.0
2026-01-28 04:00:00+00:00,25331.349609375,25363.900390625,25330.75,25352.099609375,0,33.150390625,11.150390625,22.0,33.150390625,39.512759055631776,25465.863472479396,25228.786918145604,25465.863472479396,25233.168094354143,25233.168094354143,1.0
